;mun;year;exp_value;imp_value;exp_share;homicid;latroc;estupro;idh;idh_rank;educ_pgraduate;life_exp;furtos;gdp;gdp_per;area;roubos;dem_dens;value_add;ind_value_ad;eletric;mun_revenue;iptu;iss;icms;ipva;icms.1;veic;veic_per;jobs;jobs_mrev;pop;pop_cresc;pop_urb;pop_rur;olding;urbing;migration;pri_year;pri_mun;pri_reais;pri_dolar;mun2;pub_year;pub_mun;pub_value;checkpub;checkpri
0;Adamantina;2000;;;;;;;0,721;32;10,83;,,,;;;;411,78;;81,32;;;;51901866;3745438;374408;0,04969091;6575567;8908657;;;5338;547,8;33484;;30356;3128;60,91;90,66;115;;;;;ADAMANTINA;;;;1;0
1;Adamantina;2001;;;;4;;2;;;;,,,;269;;;411,78;18;81,54;;;42665;55946273;3596521;471032;0,04859296;7092292;11866905;;;5418;602,97;33577;;30475;3102;64,06;90,76;,,,;;;;;ADAMANTINA;;;;1;0
2;Adamantina;2002;;;;1;1;;;;;,,,;319;281045,53;8355,5;411,78;5;81,68;256900,96;46484,02;44590;92813462;3045709;1995049;0,045386;7906851;12037561;12206;2,76;6006;654,7;33636;;30635;3001;67,36;91,08;,,,;;;;;ADAMANTINA;;;;1;0
3;Adamantina;2003;7509556;;0,027878;1;;;;;;,,,;280;334646,05;9936,93;411,78;8;81,78;305016,63;55096,86;47876;88043616;3016482;1808059;0,04876025;7152538;9427307;12595;2,67;6223;709,64;33677;;30796;2881;70,87;91,45;,,,;;;;;ADAMANTINA;;;;1;0
4;Adamantina;2004;6864268;;0,019939;4;;1;;;;,,,;422;336598,55;9983,64;411,78;6;81,88;308021,43;66538,76;49496;;;;0,05260132;7386335;7593161;13156;2,56;6751;762,66;33715;;30958;2757;74,62;91,82;,,,;;;;;ADAMANTINA;;;;1;0
5;Adamantina;2005;42493060;1218682;0,102645;;;;;;;,,,;382;380332,12;11264,43;411,78;13;82;350151,75;76271,38;52261;93179436;2983673;1977222;0,05291053;7457835;8119524;13821;2,44;6806;769,85;33764;;31120;2644;78,58;92,17;,,,;;;;;ADAMANTINA;;;;1;0
6;Adamantina;2006;81851232;3702790;0,162634;1;1;;;;;,,,;308;447548,62;13247,35;411,78;8;82,04;410262,9;98155,69;54593;103499043;2994875;2389729;0,05346078;8215833;10014724;14635;2,31;7323;893,81;33784;;31283;2501;82,71;92,6;,,,;;;;;ADAMANTINA;;;;1;0
7;Adamantina;2007;77217655;3458584;0,13737;;;;;;;,,,;334;511690,94;15142,82;411,78;12;82,06;471744,6;106312,8;58208;114133521;3014599;2659032;0,05169529;9315925;11990462;15604;2,17;7577;982,65;33791;;31447;2344;87,15;93,06;,,,;;;;;ADAMANTINA;;;;1;0
8;Adamantina;2008;48685783;3622520;0,074821;1;;;;;;,,,;402;521110,11;15426,13;411,78;5;82,04;475490,81;97580,57;59712;;;;0,05537704;9327095;9482059;16855;2;8959;1081,41;33781;;31612;2169;91,87;93,58;,,,;;;;;ADAMANTINA;;;;1;0
9;Adamantina;2009;63343890;1331161;0,136029;1;;1;;;;,,,;288;580602,67;17195,4;411,78;19;82;533033,77;93946,66;62581;77463032;3509051;3485586;0,05512665;10942472;10028912;18058;1,87;8928;1113,15;33765;;31778;1987;96,83;94,12;,,,;;;;;ADAMANTINA;;;;1;0
